Variant,Feature,Mean_BA_Drop,Std_BA_Drop_Across_Folds,Mean_AUC_Drop,Std_AUC_Drop_Across_Folds,Positive_BA_Folds,Positive_AUC_Folds,N_Folds,Presence_Rate,Positive_AUC_Rate,Positive_BA_Rate
A,QQQ_Log_Return_1D,0.009452760129774253,0.025544209431642196,0.02102196910520729,0.027583226898367164,3,3,4,1.0,0.75,0.75
A,Relative_Volume_20D,0.007592195631115372,0.005055733681648612,0.013178993677280655,0.03269856778438944,4,3,4,1.0,0.75,1.0
A,QQQ_Log_Return_3D,0.010433901859722037,0.025404457392221188,0.012333773353642035,0.020720500680193696,2,3,4,1.0,0.75,0.5
A,Ticker,-0.00308465418077909,0.016520992779594672,0.008251804800496672,0.026166575374329946,2,2,4,1.0,0.5,0.5
A,Stock_vs_QQQ_5D,-0.0011166201196828262,0.018005629601998096,0.0072518451002670445,0.0437134853278096,1,2,4,1.0,0.5,0.25
A,Stock_vs_QQQ_3D,0.004848205783811061,0.002012625478205695,0.003031143070776606,0.012280944637453817,4,3,4,1.0,0.75,1.0
A,Stock_vs_QQQ_1D,-0.0006805760425205926,0.014280594467511327,0.001633441547205584,0.018594383013875893,2,2,4,1.0,0.5,0.5
A,Volatility_14D,0.002078148071243998,0.02304606559931231,0.00032670866531956137,0.00863003512601081,3,2,4,1.0,0.5,0.75
A,QQQ_Log_Return_5D,-0.0047627530608349835,0.008961326510921932,-0.0001589489984682906,0.009765970235327836,2,2,4,1.0,0.5,0.5
A,Price_to_SMA20,0.006165454396390331,0.02045669339074275,-0.0012924892538939306,0.01927653569092126,3,2,4,1.0,0.5,0.75
A,RSI_14,-0.0009356054988062896,0.021432945252886193,-0.0015266997776471197,0.015861955479630784,2,3,4,1.0,0.75,0.5
A,Intraday_Return,0.0037627599147922004,0.002068828295778708,-0.0049221631283767695,0.005962640892691695,4,1,4,1.0,0.25,1.0
A,Daily_Range,-0.0025583096665815763,0.020169231934775347,-0.004965851075719207,0.01169537576414559,2,2,4,1.0,0.5,0.5
